p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene	ensembl_gene_id	entrezgene_id	wikigene_description	ontology term	ontology description	ontology level
1.06E-93	-0.3607785	0.887	0.925	3.42E-89	Btf3	ENSMUSG00000021660	218490	basic transcription factor 3	in utero embryonic development	"The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus."	biological_process
2.69E-89	-0.30448022	0.952	0.975	8.69E-85	mt-Co2	ENSMUSG00000064354	17709	cytochrome c oxidase subunit II	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
5.03E-88	-0.387829519	0.865	0.905	1.62E-83	Atp5l	NA	NA	NA	NA	NA	NA
2.72E-87	-0.630308924	0.537	0.675	8.79E-83	Cirbp	ENSMUSG00000045193	12696	cold inducible RNA binding protein	RNA binding	Binding to an RNA molecule or a portion thereof.	molecular_function
1.33E-86	-0.294321485	0.942	0.968	4.31E-82	Rpl24	ENSMUSG00000098274	68193	ribosomal protein L24	translation	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."	biological_process
1.18E-84	-0.288602749	0.943	0.966	3.81E-80	Rpl11	ENSMUSG00000059291	67025	ribosomal protein L11			
2.22E-83	-0.328478046	0.923	0.949	7.17E-79	Rpl29	ENSMUSG00000048758	19944	ribosomal protein L29	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
3.52E-83	0.535705796	0.912	0.909	1.14E-78	Hspa8	ENSMUSG00000015656	15481	heat shock protein 8	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
7.47E-82	-0.252639962	0.962	0.976	2.41E-77	Rpl37	ENSMUSG00000041841	67281	ribosomal protein L37	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
1.82E-81	-0.298831547	0.946	0.968	5.87E-77	Rps11	ENSMUSG00000003429	27207	ribosomal protein S11	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
1.90E-81	-0.254190375	0.959	0.976	6.15E-77	Rpl35a	ENSMUSG00000060636	57808	ribosomal protein L35A	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
2.05E-80	-0.331384822	0.954	0.973	6.61E-76	Rplp0	ENSMUSG00000067274	11837	ribosomal protein lateral stalk subunit P0	ribosome biogenesis	"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."	biological_process
1.66E-78	-0.303207599	0.943	0.97	5.35E-74	Rpl36	ENSMUSG00000057863	54217	ribosomal protein L36	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
1.98E-77	1.189392047	0.492	0.361	6.39E-73	Hspd1	ENSMUSG00000025980	15510	heat shock protein 1 (chaperonin)	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
1.54E-76	-0.56647316	0.644	0.76	4.99E-72	Ccnd3	ENSMUSG00000034165	12445	cyclin D3	cyclin-dependent protein serine/threonine kinase regulator activity	"Modulates the activity of a cyclin-dependent protein serine/threonine kinase, enzymes of the protein kinase family that are regulated through association with cyclins and other proteins."	molecular_function
2.84E-74	-0.379676508	0.913	0.936	9.16E-70	Sh3bgrl3	ENSMUSG00000028843	73723	SH3 domain binding glutamic acid-rich protein-like 3	cytosol	"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."	cellular_component
1.45E-73	-0.326846763	0.963	0.975	4.69E-69	mt-Atp6	ENSMUSG00000064357	17705	ATP synthase F0 subunit 6	proton motive force-driven ATP synthesis	The transport of protons across a membrane to generate an electrochemical gradient (proton-motive force) that powers ATP synthesis.	biological_process
5.86E-73	1.406051922	0.507	0.382	1.89E-68	Dnajb1	ENSMUSG00000005483	81489	DnaJ heat shock protein family (Hsp40) member B1	protein folding	The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure.	biological_process
8.57E-73	-0.274478555	0.943	0.965	2.77E-68	Rpl32	ENSMUSG00000057841	19951	ribosomal protein L32	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
2.00E-71	-0.399747234	0.774	0.834	6.46E-67	Cox5b	ENSMUSG00000061518	12859	cytochrome c oxidase subunit 5B	mitochondrial respiratory chain complex IV	"A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. Contains the 13 polypeptide subunits of cytochrome c oxidase, including cytochrome a and cytochrome a3. Catalyzes the oxidation of reduced cytochrome c by dioxygen (O2)."	cellular_component
2.72E-70	-0.255215156	0.958	0.975	8.77E-66	Rpl34	ENSMUSG00000062006	68436	ribosomal protein L34	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
5.92E-70	-0.259206253	0.967	0.977	1.91E-65	Rpl39	ENSMUSG00000079641	67248	ribosomal protein L39	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
2.28E-68	-0.350857717	0.863	0.905	7.37E-64	Gas5	ENSMUSG00000053332	14455	growth arrest specific 5	RNA processing	Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules.	biological_process
1.81E-66	-0.2735399	0.948	0.968	5.85E-62	Rps13	ENSMUSG00000090862	68052	ribosomal protein S13	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
3.22E-64	-0.267221297	0.923	0.949	1.04E-59	Rpl15	ENSMUSG00000012405	66480	ribosomal protein L15	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
4.61E-63	-0.267626208	0.93	0.954	1.49E-58	Cox8a	ENSMUSG00000035885	12868	cytochrome c oxidase subunit 8A	mitochondrial respiratory chain complex IV	"A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. Contains the 13 polypeptide subunits of cytochrome c oxidase, including cytochrome a and cytochrome a3. Catalyzes the oxidation of reduced cytochrome c by dioxygen (O2)."	cellular_component
1.30E-61	-0.279345814	0.939	0.963	4.18E-57	Rps5	ENSMUSG00000012848	20103	ribosomal protein S5	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
1.18E-60	-0.361279738	0.807	0.861	3.81E-56	Eif3f	ENSMUSG00000031029	66085	"eukaryotic translation initiation factor 3, subunit F"	protein binding	Binding to a protein.	molecular_function
1.44E-58	-0.531190237	0.577	0.673	4.64E-54	Klf13	ENSMUSG00000052040	50794	Kruppel-like transcription factor 13	positive regulation of transcription by RNA polymerase II	"Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."	biological_process
2.09E-57	0.5762854	0.73	0.656	6.74E-53	AC149090.1	NA	NA	NA	NA	NA	NA
3.76E-57	0.365208343	0.91	0.858	1.21E-52	Camk1d	ENSMUSG00000039145	227541	calcium/calmodulin-dependent protein kinase ID	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
1.39E-56	-0.271125512	0.927	0.954	4.49E-52	Rps18	ENSMUSG00000008668	20084	ribosomal protein S18			
5.78E-56	-0.278632886	0.936	0.963	1.87E-51	Rps19	ENSMUSG00000040952	20085	ribosomal protein S19	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
7.52E-56	0.284292363	0.939	0.944	2.43E-51	Ddx5	ENSMUSG00000020719	13207	DEAD box helicase 5	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
1.36E-55	0.900954992	0.446	0.324	4.39E-51	P4ha1	ENSMUSG00000019916	18451	"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide"	protein binding	Binding to a protein.	molecular_function
2.11E-55	0.844653351	0.816	0.789	6.80E-51	Hspe1	ENSMUSG00000073676	15528	heat shock protein 1 (chaperonin 10)	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
3.40E-55	-0.253092032	0.942	0.963	1.10E-50	Rpl27	ENSMUSG00000063316	19942	ribosomal protein L27	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
7.00E-55	-0.305264249	0.848	0.889	2.26E-50	Cox6c	ENSMUSG00000014313	12864	cytochrome c oxidase subunit 6C			
2.53E-54	0.733493754	0.316	0.197	8.16E-50	Gm11867	ENSMUSG00000087402	NA				
1.35E-53	-0.260387316	0.938	0.961	4.35E-49	Rpl18	ENSMUSG00000059070	19899	ribosomal protein L18	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
5.60E-53	0.687174444	0.57	0.457	1.81E-48	Fchsd2	ENSMUSG00000030691	207278	FCH and double SH3 domains 2	lipid binding	Binding to a lipid.	molecular_function
6.11E-53	-0.907456846	0.317	0.442	1.97E-48	Il7r	ENSMUSG00000003882	16197	interleukin 7 receptor	protein binding	Binding to a protein.	molecular_function
7.68E-53	-0.301948499	0.933	0.961	2.48E-48	Rpsa	ENSMUSG00000032518	16785	ribosomal protein SA	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
1.59E-52	-0.610931664	0.247	0.375	5.13E-48	AA467197	ENSMUSG00000033213	433470	expressed sequence AA467197	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
3.27E-52	-0.479958355	0.495	0.623	1.05E-47	S100a6	ENSMUSG00000001025	20200	S100 calcium binding protein A6 (calcyclin)	calcium ion binding	Binding to a calcium ion (Ca2+).	molecular_function
2.63E-51	-0.281793765	0.952	0.971	8.49E-47	Rps15a	ENSMUSG00000008683	267019	ribosomal protein S15A	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
4.27E-51	-0.328973862	0.806	0.847	1.38E-46	Nme2	ENSMUSG00000020857	18103	NME/NM23 nucleoside diphosphate kinase 2	nucleoside diphosphate kinase activity	Catalysis of the reaction: ATP + nucleoside diphosphate = ADP + nucleoside triphosphate.	molecular_function
4.81E-51	-0.482912012	0.801	0.842	1.55E-46	H2afz	NA	NA	NA	NA	NA	NA
1.61E-50	0.690914043	0.458	0.34	5.19E-46	Pdgfb	ENSMUSG00000000489	18591	"platelet derived growth factor, B polypeptide"	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
1.76E-50	-0.321055062	0.814	0.854	5.69E-46	Cox6b1	ENSMUSG00000036751	110323	"cytochrome c oxidase, subunit 6B1"	mitochondrion	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."	cellular_component
2.49E-50	-0.384639937	0.711	0.773	8.03E-46	Ndufa6	ENSMUSG00000022450	67130	NADH:ubiquinone oxidoreductase subunit A6	mitochondrial respiratory chain complex I	"A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. It contains about 25 different polypeptide subunits, including NADH dehydrogenase (ubiquinone), flavin mononucleotide and several different iron-sulfur clusters containing non-heme iron. The iron undergoes oxidation-reduction between Fe(II) and Fe(III), and catalyzes proton translocation linked to the oxidation of NADH by ubiquinone."	cellular_component
1.92E-49	-0.357104389	0.835	0.875	6.21E-45	2410006H16Rik	ENSMUSG00000086841	NA				
6.58E-49	-0.422432941	0.603	0.689	2.13E-44	Srp9	ENSMUSG00000026511	27058	signal recognition particle 9	SRP-dependent cotranslational protein targeting to membrane	"The targeting of proteins to a membrane that occurs during translation and is dependent upon two key components, the signal-recognition particle (SRP) and the SRP receptor. SRP is a cytosolic particle that transiently binds to the endoplasmic reticulum (ER) signal sequence in a nascent protein, to the large ribosomal unit, and to the SRP receptor in the ER membrane."	biological_process
5.01E-48	-0.253206301	0.936	0.962	1.62E-43	Rpl8	ENSMUSG00000003970	26961	ribosomal protein L8	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
5.80E-48	0.404654919	0.891	0.874	1.87E-43	Jund	ENSMUSG00000071076	16478	jun D proto-oncogene	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
1.31E-47	-0.56641532	0.494	0.598	4.23E-43	Vim	ENSMUSG00000026728	22352	vimentin	intermediate filament	"A cytoskeletal structure that forms a distinct elongated structure, characteristically 10 nm in diameter, that occurs in the cytoplasm of eukaryotic cells. Intermediate filaments form a fibrous system, composed of chemically heterogeneous subunits and involved in mechanically integrating the various components of the cytoplasmic space. Intermediate filaments may be divided into five chemically distinct classes: Type I, acidic keratins; Type II, basic keratins; Type III, including desmin, vimentin and others; Type IV, neurofilaments and related filaments; and Type V, lamins."	cellular_component
1.65E-47	0.740373757	0.503	0.406	5.32E-43	Pou2f2	ENSMUSG00000008496	18987	"POU domain, class 2, transcription factor 2"	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
4.17E-47	-0.286697298	0.833	0.871	1.35E-42	Ndufb1-ps	NA	NA	NA	NA	NA	NA
2.64E-46	-0.255994789	0.884	0.917	8.52E-42	Uqcrh	ENSMUSG00000063882	66576	ubiquinol-cytochrome c reductase hinge protein	mitochondrion	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."	cellular_component
6.32E-45	-0.262116163	0.893	0.924	2.04E-40	Rpl14	ENSMUSG00000025794	67115	ribosomal protein L14	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
2.76E-44	0.688976855	0.458	0.356	8.91E-40	Lag3	ENSMUSG00000030124	16768	lymphocyte-activation gene 3	adaptive immune response	"An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."	biological_process
3.89E-44	-0.310084415	0.777	0.827	1.26E-39	Hint1	ENSMUSG00000020267	15254	histidine triad nucleotide binding protein 1	catalytic activity	"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."	molecular_function
4.38E-44	-0.573838712	0.455	0.569	1.41E-39	Lgals1	ENSMUSG00000068220	16852	"lectin, galactose binding, soluble 1"	carbohydrate binding	"Binding to a carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates."	molecular_function
1.40E-43	-0.490658674	0.555	0.659	4.51E-39	Crip1	ENSMUSG00000006360	12925	cysteine-rich protein 1			
2.44E-43	0.867792447	0.452	0.358	7.87E-39	Tanc2	ENSMUSG00000053580	77097	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"			
1.46E-42	-0.308109999	0.741	0.796	4.71E-38	Eif3k	ENSMUSG00000053565	73830	"eukaryotic translation initiation factor 3, subunit K"	translation initiation factor activity	Functions in the initiation of ribosome-mediated translation of mRNA into a polypeptide.	molecular_function
1.85E-42	0.374467847	0.899	0.875	5.97E-38	Ubc	ENSMUSG00000008348	22190	ubiquitin C	protein binding	Binding to a protein.	molecular_function
2.99E-41	-0.291391352	0.854	0.89	9.67E-37	Ptpn18	ENSMUSG00000026126	19253	"protein tyrosine phosphatase, non-receptor type 18"			
4.00E-41	-0.701695376	0.369	0.477	1.29E-36	S100a4	ENSMUSG00000001020	20198	S100 calcium binding protein A4	calcium ion binding	Binding to a calcium ion (Ca2+).	molecular_function
3.28E-40	-0.254307724	0.844	0.89	1.06E-35	Rpl22l1	ENSMUSG00000039221	68028	ribosomal protein L22 like 1	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
4.20E-40	0.791670945	0.374	0.276	1.36E-35	Nav3	ENSMUSG00000020181	260315	neuron navigator 3	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
8.40E-40	-0.308457942	0.714	0.778	2.71E-35	Polr1d	ENSMUSG00000029642	20018	polymerase (RNA) I polypeptide D	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
2.63E-39	-0.443378037	0.596	0.668	8.48E-35	Pgls	ENSMUSG00000031807	66171	6-phosphogluconolactonase	carbohydrate metabolic process	"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."	biological_process
5.52E-39	-0.324883715	0.712	0.765	1.78E-34	Atp5c1	NA	NA	NA	NA	NA	NA
1.09E-38	0.437296519	0.615	0.509	3.52E-34	Cmss1	ENSMUSG00000022748	66497	cms small ribosomal subunit 1	molecular_function	"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."	molecular_function
1.79E-38	-0.300309229	0.76	0.808	5.77E-34	Mrpl52	ENSMUSG00000010406	68836	mitochondrial ribosomal protein L52	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
2.16E-38	-0.26397814	0.815	0.854	6.97E-34	Atp5h	NA	NA	NA	NA	NA	NA
3.36E-38	-0.332106108	0.709	0.763	1.09E-33	Cox5a	ENSMUSG00000000088	12858	cytochrome c oxidase subunit 5A			
5.43E-38	-0.54923937	0.368	0.467	1.75E-33	Rpl9-ps6	ENSMUSG00000062456	NA		structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
7.30E-38	-0.256100765	0.861	0.889	2.36E-33	Clic1	ENSMUSG00000007041	114584	chloride intracellular channel 1	mitochondrion	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."	cellular_component
1.35E-37	-0.275236443	0.779	0.831	4.37E-33	Rpl10-ps3	ENSMUSG00000058443	NA		structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
1.78E-36	0.686174613	0.355	0.257	5.76E-32	Mir99ahg	ENSMUSG00000090386	77994	Mir99a and Mirlet7c-1 host gene (non-protein coding)			
2.98E-36	0.710542186	0.313	0.218	9.61E-32	Pros1	ENSMUSG00000022912	19128	protein S (alpha)	extracellular region	The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.	cellular_component
5.29E-36	0.444126367	0.736	0.684	1.71E-31	Hsp90b1	ENSMUSG00000020048	22027	"heat shock protein 90, beta (Grp94), member 1"			
6.74E-36	-0.370829518	0.626	0.693	2.18E-31	Abracl	ENSMUSG00000078453	73112	ABRA C-terminal like			
2.77E-35	0.383173651	0.674	0.604	8.95E-31	Cyth4	ENSMUSG00000018008	72318	cytohesin 4	guanyl-nucleotide exchange factor activity	"Stimulates the exchange of GDP to GTP on a signaling GTPase, changing its conformation to its active form. Guanine nucleotide exchange factors (GEFs) act by stimulating the release of guanosine diphosphate (GDP) to allow binding of guanosine triphosphate (GTP), which is more abundant in the cell under normal cellular physiological conditions."	molecular_function
3.63E-35	0.456182685	0.59	0.503	1.17E-30	Bin2	ENSMUSG00000098112	668218	bridging integrator 2	protein binding	Binding to a protein.	molecular_function
3.79E-35	-0.402312212	0.594	0.651	1.22E-30	Ndufb8	ENSMUSG00000025204	67264	NADH:ubiquinone oxidoreductase subunit B8	mitochondrion	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."	cellular_component
1.17E-34	-0.278316469	0.734	0.783	3.76E-30	Hnrnpa1	ENSMUSG00000046434	15382	heterogeneous nuclear ribonucleoprotein A1	RNA binding	Binding to an RNA molecule or a portion thereof.	molecular_function
2.02E-34	-0.348188877	0.673	0.73	6.52E-30	Reep5	ENSMUSG00000005873	13476	receptor accessory protein 5	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
2.20E-34	0.68608956	0.423	0.331	7.11E-30	Zfp710	ENSMUSG00000048897	209225	zinc finger protein 710	nucleus	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."	cellular_component
2.60E-34	0.686815372	0.31	0.219	8.39E-30	Adam15	ENSMUSG00000028041	11490	ADAM metallopeptidase domain 15	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
3.14E-34	0.637445188	0.422	0.334	1.02E-29	Csf3r	ENSMUSG00000028859	12986	colony stimulating factor 3 receptor	protein binding	Binding to a protein.	molecular_function
5.50E-34	0.666069248	0.407	0.324	1.77E-29	Olfml3	ENSMUSG00000027848	99543	olfactomedin-like 3			
6.08E-34	0.607918814	0.326	0.233	1.96E-29	Chordc1	ENSMUSG00000001774	66917	cysteine and histidine rich domain containing 1	protein binding	Binding to a protein.	molecular_function
7.70E-34	0.393971745	0.727	0.656	2.49E-29	Saraf	ENSMUSG00000031532	67887	store-operated calcium entry-associated regulatory factor	endoplasmic reticulum membrane	The lipid bilayer surrounding the endoplasmic reticulum.	cellular_component
1.12E-33	-0.270255239	0.732	0.781	3.62E-29	Snrpe	ENSMUSG00000090553	20643	small nuclear ribonucleoprotein E	RNA binding	Binding to an RNA molecule or a portion thereof.	molecular_function
1.44E-33	-0.287005713	0.764	0.805	4.66E-29	Atp5mpl	NA	NA	NA	NA	NA	NA
2.13E-33	0.505103859	0.745	0.688	6.87E-29	Jun	ENSMUSG00000052684	16476	jun proto-oncogene	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
2.69E-33	-0.279071134	0.883	0.902	8.68E-29	Gapdh	ENSMUSG00000057666	14433	glyceraldehyde-3-phosphate dehydrogenase			
2.74E-33	-0.280806388	0.771	0.811	8.83E-29	Eif3h	ENSMUSG00000022312	68135	"eukaryotic translation initiation factor 3, subunit H"	protein binding	Binding to a protein.	molecular_function
4.16E-33	-0.278523127	0.773	0.806	1.34E-28	Slc25a5	ENSMUSG00000016319	11740	"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5"	transmembrane transport	"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."	biological_process
4.91E-33	0.442724484	0.63	0.564	1.58E-28	Calr	ENSMUSG00000003814	12317	calreticulin	protein binding	Binding to a protein.	molecular_function
1.03E-32	-0.398959918	0.456	0.544	3.32E-28	Cmc1	ENSMUSG00000039163	67899	C-X9-C motif containing 1	mitochondrion	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."	cellular_component
1.04E-32	-0.272528642	0.796	0.839	3.37E-28	Elob	ENSMUSG00000055839	67673	elongin B	protein binding	Binding to a protein.	molecular_function
1.08E-32	-0.557955571	0.362	0.453	3.48E-28	Smim4	NA	NA	NA	NA	NA	NA
1.27E-32	0.812682707	0.288	0.203	4.11E-28	Nuak1	ENSMUSG00000020032	77976	"NUAK family, SNF1-like kinase, 1"	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
1.33E-32	-0.499595602	0.367	0.457	4.29E-28	Cnot6	ENSMUSG00000020362	104625	"CCR4-NOT transcription complex, subunit 6"	protein binding	Binding to a protein.	molecular_function
